_id,id,year,state_name,state_code,district_name,district_code,registration_circles,murder,non murder,culp homicide,accident other than hitand run,deaths other negnc,dowry deaths,abetment of suicide,attempt murder,commit suicide,simple hurt,dangerous weapon,public servant duty,heart and life safety,hurt by weapon,vlntrly hurt,assault_on_women, sexual harassment,stalking,missing_child_kidnpd,other_kidnp_abduc,kidnp_abdctn_marrg,others,rape,attempt rape,motor vehicle theft,other thefts,day time burglary,night burglary,blackmailing,robbery,fake currency,cheating,forgery,negligent driving,criminal trespass,cruelty,latitude,longitude,Cluster_KMeans,Cluster_DBSCAN,Total_Crime_Weight
1,0,2017,Andhra Pradesh,28,Ananthapuramu,502,Anantapur,113,4,50,503,16,14,63,175,21,393,1610,11,10,7,59,196,50,60,8,17,32,6,43,11,176,279,55,219,27,23,6,137,4,29,198,471,14.6819,77.6006,3,0,5075.282499999999
2,1,2017,Andhra Pradesh,28,Chittoor,503,Chittoor,70,5,36,461,32,8,24,83,6,113,490,31,102,4,31,163,3,0,0,5,3,2,24,9,199,212,21,86,4,6,2,141,8,150,100,212,13.2172,79.1003,2,1,2868.3175
3,2,2017,Andhra Pradesh,28,Y.S.R.,504,Cuddapah,88,10,32,437,18,15,143,286,16,606,949,118,712,2,21,203,98,104,11,0,7,1,41,6,247,273,59,175,96,19,3,206,45,30,198,481,14.4673,78.8242,3,2,5761.2915
4,3,2017,Andhra Pradesh,28,East Godavari,505,East Godavari,69,14,138,503,23,10,18,74,109,112,809,62,6,0,20,223,136,62,0,25,4,5,108,12,347,613,64,308,33,16,4,296,33,380,848,601,17.0167,81.7833,1,3,6114.8
5,4,2017,Andhra Pradesh,28,Ananthapuramu,502,Guntakal Railway,11,0,0,0,4,3,3,7,0,16,0,3,3,0,0,0,2,0,0,0,0,0,0,0,0,667,0,0,6,6,5,0,0,0,0,1,14.6819,77.6006,2,0,818.2825
6,5,2017,Andhra Pradesh,28,Guntur,506,Guntur,100,6,62,533,16,14,64,144,47,112,1432,59,6,19,78,191,78,39,2,11,7,1,90,27,262,397,54,150,21,19,3,366,10,81,10,558,16.3067,80.4365,1,4,5065.7432
7,6,2017,Andhra Pradesh,28,Guntur,506,Guntur Urban,32,9,3,263,0,1,35,45,6,0,532,22,0,0,31,87,29,28,0,51,74,0,38,8,357,437,37,163,59,14,1,398,0,66,93,335,16.3067,80.4365,2,4,3318.7432
8,7,2017,Andhra Pradesh,28,Krishna,510,Krishna,35,8,35,332,3,14,48,61,16,0,1467,63,0,0,36,186,158,42,0,90,16,0,81,18,152,285,41,221,33,10,5,312,0,235,0,620,16.521,80.6305,1,5,4685.1515
9,8,2017,Andhra Pradesh,28,Kurnool,511,Kurnool,93,22,41,527,28,18,68,219,17,178,524,79,501,3,8,246,63,17,0,9,17,10,34,6,175,314,92,202,22,9,6,334,6,45,148,313,15.8281,78.0373,3,6,4394.8654
10,9,2017,Andhra Pradesh,28,Sri Potti Sriramulu Nellore,515,Nellore,67,10,52,423,19,6,38,315,12,417,962,155,1,10,31,150,67,34,0,24,9,14,58,15,304,529,85,291,21,34,1,169,10,59,51,469,14.4426,79.9865,3,7,4939.4291
