latitude,longitude,month,weekday,is_weekend,crime_type,count,crime_category
14.6819,77.6006,1,6,True,murder,113,Violence
13.2172,79.1003,1,6,True,murder,70,Violence
14.4673,78.8242,1,6,True,murder,88,Violence
17.0167,81.7833,1,6,True,murder,69,Violence
14.6819,77.6006,1,6,True,murder,11,Violence
16.3067,80.4365,1,6,True,murder,100,Violence
16.3067,80.4365,1,6,True,murder,32,Violence
16.521,80.6305,1,6,True,murder,35,Violence
15.8281,78.0373,1,6,True,murder,93,Violence
14.4426,79.9865,1,6,True,murder,67,Violence
15.337,79.9067,1,6,True,murder,91,Violence
17.0167,81.7833,1,6,True,murder,14,Violence
18.2969,83.8966,1,6,True,murder,30,Violence
13.6288,79.4192,1,6,True,murder,38,Violence
16.5063, 80.6480°,1,6,True,murder,34,Violence
16.5063, 80.6480°,1,6,True,murder,8,Violence
17.6868,83.2185,1,6,True,murder,39,Violence
17.6868,83.2185,1,6,True,murder,40,Violence
18.1067,83.3956,1,6,True,murder,28,Violence
16.705,81.0958,1,6,True,murder,54,Violence
,,1,6,True,murder,1,Violence
,,1,6,True,murder,8,Violence
,,1,6,True,murder,1,Violence
,,1,6,True,murder,1,Violence
,,1,6,True,murder,4,Violence
,,1,6,True,murder,5,Violence
,,1,6,True,murder,7,Violence
,,1,6,True,murder,1,Violence
,,1,6,True,murder,3,Violence
,,1,6,True,murder,2,Violence
,,1,6,True,murder,11,Violence
,,1,6,True,murder,5,Violence
,,1,6,True,murder,5,Violence
,,1,6,True,murder,1,Violence
,,1,6,True,murder,2,Violence
,,1,6,True,murder,6,Violence
,,1,6,True,murder,4,Violence
,,1,6,True,murder,1,Violence
,,1,6,True,murder,3,Violence
,,1,6,True,murder,7,Violence
,,1,6,True,murder,1,Violence
,,1,6,True,murder,50,Violence
,,1,6,True,murder,30,Violence
,,1,6,True,murder,16,Violence
,,1,6,True,murder,53,Violence
,,1,6,True,murder,13,Violence
,,1,6,True,murder,34,Violence
,,1,6,True,murder,14,Violence
,,1,6,True,murder,46,Violence
,,1,6,True,murder,54,Violence
,,1,6,True,murder,9,Violence
,,1,6,True,murder,22,Violence
,,1,6,True,murder,45,Violence
,,1,6,True,murder,80,Violence
,,1,6,True,murder,19,Violence
,,1,6,True,murder,6,Violence
,,1,6,True,murder,43,Violence
,,1,6,True,murder,44,Violence
,,1,6,True,murder,28,Violence
,,1,6,True,murder,32,Violence
,,1,6,True,murder,32,Violence
,,1,6,True,murder,41,Violence
,,1,6,True,murder,42,Violence
,,1,6,True,murder,11,Violence
,,1,6,True,murder,68,Violence
,,1,6,True,murder,14,Violence
,,1,6,True,murder,6,Violence
,,1,6,True,murder,37,Violence
,,1,6,True,murder,54,Violence
,,1,6,True,murder,56,Violence
,,1,6,True,murder,23,Violence
,,1,6,True,murder,5,Violence
,,1,6,True,murder,38,Violence
,,1,6,True,murder,28,Violence
,,1,6,True,murder,19,Violence
,,1,6,True,murder,32,Violence
,,1,6,True,murder,47,Violence
,,1,6,True,murder,11,Violence
,,1,6,True,murder,40,Violence
,,1,6,True,murder,27,Violence
,,1,6,True,murder,64,Violence
,,1,6,True,murder,88,Violence
,,1,6,True,murder,72,Violence
,,1,6,True,murder,38,Violence
,,1,6,True,murder,75,Violence
,,1,6,True,murder,87,Violence
,,1,6,True,murder,44,Violence
,,1,6,True,murder,36,Violence
,,1,6,True,murder,167,Violence
,,1,6,True,murder,69,Violence
,,1,6,True,murder,4,Violence
,,1,6,True,murder,49,Violence
,,1,6,True,murder,40,Violence
,,1,6,True,murder,86,Violence
,,1,6,True,murder,4,Violence
,,1,6,True,murder,56,Violence
,,1,6,True,murder,39,Violence
,,1,6,True,murder,51,Violence
,,1,6,True,murder,64,Violence
,,1,6,True,murder,60,Violence
,,1,6,True,murder,94,Violence
,,1,6,True,murder,56,Violence
,,1,6,True,murder,140,Violence
,,1,6,True,murder,11,Violence
,,1,6,True,murder,95,Violence
,,1,6,True,murder,32,Violence
,,1,6,True,murder,56,Violence
,,1,6,True,murder,266,Violence
,,1,6,True,murder,2,Violence
,,1,6,True,murder,100,Violence
,,1,6,True,murder,44,Violence
,,1,6,True,murder,65,Violence
,,1,6,True,murder,119,Violence
,,1,6,True,murder,16,Violence
,,1,6,True,murder,12,Violence
,,1,6,True,murder,68,Violence
,,1,6,True,murder,71,Violence
,,1,6,True,murder,47,Violence
,,1,6,True,murder,100,Violence
,,1,6,True,murder,16,Violence
,,1,6,True,murder,32,Violence
,,1,6,True,murder,41,Violence
,,1,6,True,murder,13,Violence
,,1,6,True,murder,58,Violence
,,1,6,True,murder,24,Violence
,,1,6,True,murder,31,Violence
,,1,6,True,murder,25,Violence
,,1,6,True,murder,38,Violence
,,1,6,True,murder,13,Violence
,,1,6,True,murder,2,Violence
,,1,6,True,murder,36,Violence
,,1,6,True,murder,41,Violence
,,1,6,True,murder,50,Violence
,,1,6,True,murder,19,Violence
,,1,6,True,murder,29,Violence
,,1,6,True,murder,23,Violence
,,1,6,True,murder,38,Violence
,,1,6,True,murder,36,Violence
,,1,6,True,murder,23,Violence
,,1,6,True,murder,21,Violence
,,1,6,True,murder,18,Violence
,,1,6,True,murder,54,Violence
,,1,6,True,murder,67,Violence
,,1,6,True,murder,41,Violence
,,1,6,True,murder,60,Violence
,,1,6,True,murder,34,Violence
,,1,6,True,murder,36,Violence
,,1,6,True,murder,11,Violence
,,1,6,True,murder,19,Violence
,,1,6,True,murder,1,Violence
,,1,6,True,murder,90,Violence
,,1,6,True,murder,20,Violence
,,1,6,True,murder,18,Violence
,,1,6,True,murder,19,Violence
,,1,6,True,murder,9,Violence
,,1,6,True,murder,26,Violence
,,1,6,True,murder,42,Violence
,,1,6,True,murder,31,Violence
,,1,6,True,murder,14,Violence
,,1,6,True,murder,25,Violence
,,1,6,True,murder,43,Violence
,,1,6,True,murder,6,Violence
,,1,6,True,murder,10,Violence
,,1,6,True,murder,15,Violence
,,1,6,True,murder,8,Violence
,,1,6,True,murder,16,Violence
,,1,6,True,murder,18,Violence
,,1,6,True,murder,22,Violence
,,1,6,True,murder,20,Violence
,,1,6,True,murder,28,Violence
,,1,6,True,murder,12,Violence
,,1,6,True,murder,31,Violence
,,1,6,True,murder,26,Violence
,,1,6,True,murder,6,Violence
,,1,6,True,murder,20,Violence
,,1,6,True,murder,32,Violence
,,1,6,True,murder,21,Violence
,,1,6,True,murder,9,Violence
,,1,6,True,murder,45,Violence
,,1,6,True,murder,25,Violence
,,1,6,True,murder,23,Violence
,,1,6,True,murder,89,Violence
,,1,6,True,murder,40,Violence
,,1,6,True,murder,31,Violence
,,1,6,True,murder,14,Violence
,,1,6,True,murder,15,Violence
,,1,6,True,murder,20,Violence
,,1,6,True,murder,23,Violence
,,1,6,True,murder,19,Violence
,,1,6,True,murder,31,Violence
,,1,6,True,murder,80,Violence
,,1,6,True,murder,23,Violence
,,1,6,True,murder,43,Violence
,,1,6,True,murder,107,Violence
,,1,6,True,murder,66,Violence
,,1,6,True,murder,40,Violence
,,1,6,True,murder,30,Violence
,,1,6,True,murder,65,Violence
,,1,6,True,murder,26,Violence
,,1,6,True,murder,33,Violence
,,1,6,True,murder,41,Violence
,,1,6,True,murder,19,Violence
,,1,6,True,murder,60,Violence
,,1,6,True,murder,34,Violence
,,1,6,True,murder,62,Violence
,,1,6,True,murder,25,Violence
,,1,6,True,murder,98,Violence
,,1,6,True,murder,35,Violence
